"species","decimalLongitude","decimalLatitude","year"
"456","Cardinalis cardinalis",-97.294323,37.725814,2024
"457","Cardinalis cardinalis",-82.648233,40.727936,2024
"458","Cardinalis cardinalis",-82.648116,40.727855,2024
"459","Cardinalis cardinalis",-75.067299,40.328699,2024
"460","Cardinalis cardinalis",-75.067884,40.328855,2024
"461","Cardinalis cardinalis",-75.067285,40.328732,2024
"462","Cardinalis cardinalis",-79.070844,43.068925,2024
"463","Cardinalis cardinalis",-88.217553,42.371683,2024
"464","Cardinalis cardinalis",-88.217553,42.371683,2024
"465","Cardinalis cardinalis",-88.217553,42.371683,2024
"466","Cardinalis cardinalis",-88.217553,42.371683,2024
"467","Cardinalis cardinalis",-82.48721,36.498814,2024
"468","Cardinalis cardinalis",-76.922087,38.987649,2024
"469","Cardinalis cardinalis",-76.922087,38.987649,2024
"470","Cardinalis cardinalis",-82.093575,41.021964,2024
"471","Cardinalis cardinalis",-75.201233,40.023181,2024
"472","Cardinalis cardinalis",-100.141091,25.870489,2024
"473","Cardinalis cardinalis",-78.930175,39.658159,2024
"474","Cardinalis cardinalis",-86.660508,34.497979,2024
"475","Cardinalis cardinalis",-97.648147,30.21973,2024
"476","Cardinalis cardinalis",-75.067299,40.328699,2024
"477","Cardinalis cardinalis",-75.067299,40.328699,2024
"478","Cardinalis cardinalis",-81.032618,28.546522,2024
